Test 1:
[-0.14709975, -0.0784532, 9.7674234;
-0.20593965, -0.10787315, 9.77723005;
-0.20593965, -0.10787315, 9.77723005;
-0.20593965, -0.10787315, 9.77723005;
-0.20593965, -0.10787315, 9.77723005;
-0.20593965, -0.10787315, 9.77723005;
-0.2157463, -0.14709975, 9.79684335;
-0.2157463, -0.14709975, 9.79684335;
-0.2157463, -0.14709975, 9.79684335;
-0.2157463, -0.14709975, 9.79684335;
-0.196133, -0.12748645, 9.7870367;
-0.196133, -0.12748645, 9.7870367;
-0.196133, -0.12748645, 9.7870367;
-0.196133, -0.12748645, 9.7870367;
-0.196133, -0.12748645, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.12748645, 9.7870367;
-0.20593965, -0.12748645, 9.7870367;
-0.20593965, -0.12748645, 9.7870367;
-0.20593965, -0.12748645, 9.7870367;
-0.20593965, -0.12748645, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.80665;
-0.20593965, -0.1372931, 9.80665;
-0.20593965, -0.1372931, 9.80665;
-0.20593965, -0.1372931, 9.80665;
-0.20593965, -0.1372931, 9.80665;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.196133, -0.1372931, 9.7870367;
-0.196133, -0.1372931, 9.7870367;
-0.196133, -0.1372931, 9.7870367;
-0.196133, -0.1372931, 9.7870367;
-0.196133, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.77723005;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.1372931, 9.7870367;
-0.20593965, -0.12748645, 9.77723005;
-0.20593965, -0.12748645, 9.77723005;
-0.20593965, -0.12748645, 9.7772300]
