Test 1:
0.0111266 0.0123283 -1.73372;
0.0115311 0.0114152 -1.73537;
0.0130982 0.0112304 -1.73594;
0.00760819 0.0108459 -1.73945;
0.0125354 0.010591 -1.73411;
0.0111615 0.012396 -1.72941;
0.0119514 0.0116841 -1.72192;
0.0121119 0.00760846 -1.71888;
0.00688171 0.00665476 -1.72195;
0.00366841 0.00728827 -1.72423;
0.00475186 0.00383117 -1.72737;
0.00389073 0.00408367 -1.72812;
0.00309861 0.00117597 -1.73002;
0.00374158 0.00127628 -1.72969;
0.00147333 0.00310438 -1.72755;
0.00519534 0.00188778 -1.7208;
0.0063509 0.00390822 -1.7162;
0.00565874 -0.00153973 -1.71559;
0.00499682 -0.00258687 -1.71858;
0.00431747 -0.00642106 -1.72387;
0.00219815 -0.00263381 -1.725;
-0.000650582 -0.00636117 -1.727;
0.00258327 -0.00685172 -1.72695;
0.000978799 -0.00164816 -1.72903;
0.000966377 -0.0138378 -1.72829;
0.00155105 -0.00679617 -1.72669;
0.00284685 -0.00725812 -1.7253;
0.00224782 -0.00826623 -1.72083;
0.0056366 -0.00602024 -1.7198;
0.00365361 -0.00323467 -1.72031;
0.00178736 -0.0100812 -1.72013;
0.000762301 -0.00359973 -1.71811;
0.0023731 -0.00234806 -1.71724;
0.004393 -0.00380164 -1.72131;
0.00156047 -0.000863123 -1.72404;
0.00161912 -0.00477368 -1.72386;
0.00528652 -0.00405892 -1.7229]
